School_ID,Short_Name,Long_Name,School_Type,Primary_Category,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Progress_Report_Year,Blue_Ribbon_Award_Year,Excelerate_Award_Gold_Year,Spot_Light_Award_Year,Improvement_Award_Year,Excellence_Award_Year,Student_Growth_Rating,Student_Growth_Description,Growth_Reading_Grades_Tested_Pct_ES,Growth_Reading_Grades_Tested_Label_ES,Growth_Math_Grades_Tested_Pct_ES,Growth_Math_Grades_Tested_Label_ES,Student_Attainment_Rating,Student_Attainment_Description,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,Culture_Climate_Description,School_Survey_Student_Response_Rate_Pct,School_Survey_Student_Response_Rate_Avg_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Avg_Pct,School_Survey_Parent_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Avg_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Growth_Grade_3_Pct,NWEA_Reading_Growth_Grade_3_Lbl,NWEA_Reading_Growth_Grade_4_Pct,NWEA_Reading_Growth_Grade_4_Lbl,NWEA_Reading_Growth_Grade_5_Pct,NWEA_Reading_Growth_Grade_5_Lbl,NWEA_Reading_Growth_Grade_6_Pct,NWEA_Reading_Growth_Grade_6_Lbl,NWEA_Reading_Growth_Grade_7_Pct,NWEA_Reading_Growth_Grade_7_Lbl,NWEA_Reading_Growth_Grade_8_Pct,NWEA_Reading_Growth_Grade_8_Lbl,NWEA_Math_Growth_Grade_3_Pct,NWEA_Math_Growth_Grade_3_Lbl,NWEA_Math_Growth_Grade_4_Pct,NWEA_Math_Growth_Grade_4_Lbl,NWEA_Math_Growth_Grade_5_Pct,NWEA_Math_Growth_Grade_5_Lbl,NWEA_Math_Growth_Grade_6_Pct,NWEA_Math_Growth_Grade_6_Lbl,NWEA_Math_Growth_Grade_7_Pct,NWEA_Math_Growth_Grade_7_Lbl,NWEA_Math_Growth_Grade_8_Pct,NWEA_Math_Growth_Grade_8_Lbl,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Suspensions_Per_100_Students_Avg_Pct,Misconducts_To_Suspensions_Year_1_Pct,Misconducts_To_Suspensions_Year_2_Pct,Misconducts_To_Suspensions_Avg_Pct,Average_Length_Suspension_Year_1_Pct,Average_Length_Suspension_Year_2_Pct,Average_Length_Suspension_Avg_Pct,Behavior_Discipline_Year_1,Behavior_Discipline_Year_2,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Student_Attendance_Avg_Pct,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,Teacher_Attendance_Avg_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,One_Year_Dropout_Rate_Avg_Pct,Other_Metrics_Year_1,Other_Metrics_Year_2,Freshmen_On_Track_School_Pct_Year_2,Freshmen_On_Track_CPS_Pct_Year_2,Freshmen_On_Track_School_Pct_Year_1,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_School_Pct_Year_2,Graduation_4_Year_CPS_Pct_Year_2,Graduation_4_Year_School_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,Graduation_5_Year_School_Pct_Year_2,Graduation_5_Year_CPS_Pct_Year_2,Graduation_5_Year_School_Pct_Year_1,Graduation_5_Year_CPS_Pct_Year_1,College_Enrollment_School_Pct_Year_2,College_Enrollment_CPS_Pct_Year_2,College_Enrollment_School_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,College_Persistence_School_Pct_Year_2,College_Persistence_CPS_Pct_Year_2,College_Persistence_School_Pct_Year_1,College_Persistence_CPS_Pct_Year_1,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,State_School_Report_Card_URL,Mobility_Rate_Pct,Chronic_Truancy_Pct,Empty_Progress_Report_Message,School_Survey_Rating_Description,Supportive_School_Award,Supportive_School_Award_Desc,Parent_Survey_Results_Year,School_Latitude,School_Longitude,PSAT_Grade_9_Score_School_Avg,PSAT_Grade_10_Score_School_Avg,SAT_Grade_11_Score_School_Avg,SAT_Grade_11_Score_CPS_Avg,Growth_PSAT_Grade_9_School_Pct,Growth_PSAT_Grade_9_School_Lbl,Growth_PSAT_Reading_Grade_10_School_Pct,Growth_PSAT_Reading_Grade_10_School_Lbl,Growth_SAT_Grade_11_School_Pct,Growth_SAT_Grade_11_School_Lbl,Attainment_PSAT_Grade_9_School_Pct,Attainment_PSAT_Grade_9_School_Lbl,Attainment_PSAT_Grade_10_School_Pct,Attainment_PSAT_Grade_10_School_Lbl,Attainment_SAT_Grade_11_School_Pct,Attainment_SAT_Grade_11_School_Lbl,Attainment_All_Grades_School_Pct,Attainment_All_Grades_School_Lbl,Growth_PSAT_Math_Grade_10_School_Pct,Growth_PSAT_Math_Grade_10_School_Lbl,Growth_SAT_Reading_Grade_11_School_Pct,Growth_SAT_Reading_Grade_11_School_Lbl,Growth_SAT_Math_Grade_11_School_Pct,Growth_SAT_Math_Grade_11_School_Lbl,latitude,longitude
610125,RUIZ,Irma C Ruiz Elementary School,Neighborhood,ES,2410 S LEAVITT ST,Chicago,Illinois,60608,773-535-4825,773-535-4618,https://www.cps.edu/schools/schoolprofiles/610125,https://ruizelementaryschool.org,2022,,2022.0,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",88.3,73.0,74.1,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,,1.3,5.4,,9.1,13.8,,1.3 days,2.2 days,2021.0,2022.0,,,,93.5,88.6,86.9,89.4,91.2,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990252867,8.0,46.7,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2022.0,41.848101,-87.680745,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.8477733,-87.6813811
609728,ROOSEVELT HS,Theodore Roosevelt High School,Neighborhood,HS,3436 W WILSON AVE,Chicago,Illinois,60625,773-534-5000,773-534-5044,https://www.cps.edu/schools/schoolprofiles/609728,https://rhsroughriders.org,2022,,,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,,,,,FAR BELOW EXPECTATIONS,"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",,,,,WELL ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",75.0,73.0,68.9,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,WEAK,,4.7,5.4,,6.9,13.8,,1.9 days,2.2 days,2021.0,2022.0,,,,82.8,79.2,86.9,85.8,92.3,92.5,2.1,4.6,6.1,2021.0,2022.0,81.3,88.8,81.6,86.7,73.0,82.9,75.5,80.2,79.0,84.0,78.0,83.8,51.7,61.8,57.4,61.9,61.1,71.2,59.4,71.7,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990250035,17.1,66.6,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2022.0,41.964828,-87.714819,,,850.0,939.0,,,,,,,29.2,29.2,11.8,11.8,9.9,9.9,17.1,17.1,,,,,,,41.9657658,-87.71418290000001
610040,LLOYD,Henry D Lloyd Elementary School,Neighborhood,ES,2103 N LAMON AVE,Chicago,Illinois,60639,773-534-3070,773-534-3388,https://www.cps.edu/schools/schoolprofiles/610040,https://lloydschool.org,2022,,2022.0,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",86.8,73.0,90.1,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,STRONG,STRONG,NEUTRAL,WEAK,,,5.4,,,13.8,,,2.2 days,2021.0,2022.0,,,,94.0,89.2,86.9,93.9,93.7,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990252316,11.1,43.5,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2022.0,41.918814,-87.748515,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.919018,-87.7482678
609983,HEDGES,James Hedges Elementary School,Neighborhood,ES,4747 S WINCHESTER AVE,Chicago,Illinois,60609,773-535-7360,773-535-4178,https://www.cps.edu/schools/schoolprofiles/609983,https://hedgescps.org,2022,,2022.0,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NOT YET ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",88.1,73.0,58.8,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEAK,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,,0.6,5.4,,5.9,13.8,,1.7 days,2.2 days,2021.0,2022.0,,,,90.7,88.3,86.9,88.6,92.5,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990252256,12.2,44.6,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2022.0,41.807112,-87.673327,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.8072948,-87.6731143
610225,WHISTLER,John Whistler Elementary School,Neighborhood,ES,11533 S ADA ST,Chicago,Illinois,60643,773-535-5560,773-535-5589,https://www.cps.edu/schools/schoolprofiles/610225,https://cps.edu/whistler,2022,,,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NOT ENOUGH DATA,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",1.4,73.0,32.4,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,5.4,,,13.8,,,2.2 days,2021.0,2022.0,,,,90.8,84.7,86.9,87.4,94.4,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990252512,13.4,54.5,,,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2022.0,41.683907,-87.655384,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.6841599,-87.6549538
610016,KELLOGG,Kate S Kellogg Elementary School,Neighborhood,ES,9241 S LEAVITT ST,Chicago,Illinois,60643,773-535-2590,773-535-2596,https://www.cps.edu/schools/schoolprofiles/610016,http://kellogg.cps.edu,2022,,,2012.0,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,PARTIALLY ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",61.0,73.0,39.4,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT ENOUGH DATA,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,,0.4,5.4,,20.0,13.8,,5.0 days,2.2 days,2021.0,2022.0,,,,97.0,94.2,86.9,90.1,92.8,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990252293,4.2,14.0,,,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2022.0,41.725263,-87.677233,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.7251948,-87.6768462
610081,SHERIDAN,Mark Sheridan Math & Science Academy,Magnet,ES,533 W 27TH ST,Chicago,Illinois,60616,773-534-9120,773-534-9124,https://www.cps.edu/schools/schoolprofiles/610081,http://sheridan.cps.edu,2022,,,2013.0,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,MODERATELY ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",95.5,73.0,54.8,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,WEAK,,,5.4,,,13.8,,,2.2 days,2021.0,2022.0,,,,98.1,94.6,86.9,90.6,94.2,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990252451,1.9,11.4,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2022.0,41.8444,-87.64134,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,40.751069,-74.0037993
610073,MITCHELL,Ellen Mitchell Elementary School,Neighborhood,ES,2233 W OHIO ST,Chicago,Illinois,60612,773-534-7655,773-534-7633,https://www.cps.edu/schools/schoolprofiles/610073,https://mitchellschool.org,2022,,2022.0,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,WELL ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",79.5,73.0,73.7,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,NEUTRAL,,0.3,5.4,,25.0,13.8,,1.0 days,2.2 days,2021.0,2022.0,,,,96.9,92.1,86.9,91.9,92.2,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990252353,5.5,23.3,,,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2022.0,41.892082,-87.683185,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.8919042,-87.68342349999999
609839,CARROLL,Carroll-Rosenwald Specialty Elementary School,Neighborhood,ES,2929 W 83RD ST,Chicago,Illinois,60652,773-535-9414,773-535-9568,https://www.cps.edu/schools/schoolprofiles/609839,https://carroll-rosenwald.cps.edu,2022,,,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,PARTIALLY ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",54.0,73.0,57.9,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEAK,STRONG,VERY STRONG,WEAK,WEAK,STRONG,,12.8,5.4,,27.8,13.8,,1.5 days,2.2 days,2021.0,2022.0,,,,91.3,89.8,86.9,84.7,92.2,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=150162990252122,14.5,36.8,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2022.0,41.742517,-87.696012,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.7421156,-87.6968995
400112,ACERO - IDAR,Acero Charter Schools - Jovita Idar,Charter,ES,5050 S HOMAN AVE,Chicago,Illinois,60632,312-455-5450,312-455-5451,https://www.cps.edu/schools/schoolprofiles/400112,http://ji.aceroschools.org,2022,,,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,PARTIALLY ORGANIZED,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",87.4,73.0,81.8,71.0,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,VERY WEAK,NEUTRAL,,,5.4,,,13.8,,,2.2 days,2021.0,2022.0,,,,96.2,93.0,86.9,,,92.5,,,,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,2022.0,http://iirc.niu.edu/School.aspx?schoolid=15016299025284C,5.0,26.0,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2022.0,41.801042,-87.708797,,,0.0,939.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.80110630000001,-87.7096028
